А,1299
Б,1779
В,553
Г,1062
Д,810
Е,111
Ё,0
Ж,424
З,674
И,368
Й,4
К,2446
Л,743
М,1368
Н,500
О,844
П,1886
Р,612
С,1912
Т,1063
У,287
Ф,204
Х,299
Ц,245
Ч,735
Ш,291
Щ,162
Ъ,0
Ы,0
Ь,0
Э,238
Ю,148
Я,225
A,3572
B,1104
C,2788
D,1179
E,1157
F,276
G,763
H,1199
I,403
J,95
K,259
L,1182
M,1943
N,938
O,938
P,3070
Q,46
R,549
S,2051
T,1582
U,167
V,208
W,104
X,188
Y,54
Z,243
